AAPL,IRX,SP
74.096458,1.495,3257.850098
73.376076,1.473,3234.850098
73.96077,1.488,3246.280029
73.61293,1.5,3237.179932
74.797089,1.493,3253.050049
76.385834,1.5,3274.699951
76.558517,1.498,3265.350098
78.194145,1.51,3288.129883
77.138275,1.53,3283.149902
76.807693,1.508,3289.290039
77.769821,1.518,3316.810059
78.630814,1.523,3329.620117
78.097939,1.503,3320.790039
78.376709,1.513,3321.75
78.754158,1.515,3325.540039
78.527199,1.49,3295.469971
76.218086,1.505,3243.629883
78.374237,1.53,3276.23999
80.014801,1.52,3273.399902
79.898842,1.528,3283.659912
76.356232,1.51,3225.52002
76.146538,1.518,3248.919922
78.660408,1.538,3297.590088
79.301842,1.52,3334.689941
80.229424,1.53,3345.780029
79.138885,1.518,3327.709961
79.514771,1.52,3352.090088
79.035027,1.538,3357.75
80.911949,1.535,3379.449951
80.335762,1.545,3373.939941
80.355537,1.535,3380.159912
78.884186,1.535,3370.290039
80.026649,1.543,3386.149902
79.205658,1.538,3373.22998
77.412834,1.518,3337.75
73.735695,1.503,3225.889893
71.238098,1.49,3128.209961
72.368195,1.478,3116.389893
67.637627,1.395,2978.76001
67.598068,1.23,2954.219971
73.891479,1.135,3090.22998
71.544739,0.918,3003.370117
74.863312,0.675,3130.120117
72.434975,0.595,3023.939941
71.473038,0.415,2972.370117
65.820084,0.33,2746.560059
70.560547,0.39,2882.22998
68.109947,0.368,2741.379883
61.383766,0.273,2480.639893
68.73806,0.243,2711.02002
59.895119,0.185,2386.129883
62.528702,0.165,2529.189941
60.997997,0.003,2398.100098
60.530632,-0.028,2409.389893
56.687809,-0.033,2304.919922
55.483528,-0.04,2237.399902
61.049938,-0.033,2447.330078
60.713623,-0.07,2475.560059
63.908558,-0.105,2630.070068
61.262604,-0.058,2541.469971
63.010906,0.013,2626.649902
62.88232,0.03,2584.590088
59.573639,0.063,2470.5
60.567722,0.065,2526.899902
59.697281,0.058,2488.649902
64.905121,0.06,2663.679932
64.153374,0.128,2659.409912
65.795357,0.185,2749.97998
66.270134,0.21,2789.820068
67.570862,0.2,2761.629883
70.983398,0.165,2846.060059
70.335518,0.115,2783.360107
70.894394,0.11,2799.550049
69.932442,0.103,2874.560059
68.480865,0.07,2823.159912
66.364105,0.098,2736.560059
68.275627,0.093,2799.310059
68.011032,0.093,2797.800049
69.97448,0.1,2836.73999
70.023941,0.093,2878.47998
68.888893,0.085,2863.389893
71.15155,0.09,2939.51001
72.652588,0.09,2912.429932
71.482925,0.093,2830.709961
72.494324,0.09,2842.73999
73.582382,0.11,2868.439941
74.341545,0.108,2848.419922
75.110611,0.095,2881.189941
76.898361,0.095,2929.800049
78.108383,0.105,2930.189941
77.215744,0.123,2870.120117
76.283424,0.115,2820
76.752068,0.105,2852.5
76.298309,0.103,2863.699951
78.095985,0.105,2953.909912
77.644722,0.118,2922.939941
79.15477,0.118,2971.610107
78.564629,0.11,2948.51001
79.070465,0.11,2955.449951
78.534866,0.118,2991.77002
78.877052,0.135,3036.129883
78.911758,0.138,3029.72998
78.834892,0.128,3044.310059
79.804398,0.128,3055.72998
80.173851,0.145,3080.820068
80.615211,0.148,3122.870117
79.920929,0.14,3112.350098
82.197166,0.145,3193.929932
82.683159,0.153,3232.389893
85.294128,0.165,3207.179932
87.488525,0.165,3190.139893
83.288162,0.153,3002.100098
84.007233,0.15,3041.310059
85.046165,0.155,3066.590088
87.300079,0.16,3124.73999
87.178589,0.165,3113.48999
87.21331,0.14,3115.340088
86.714905,0.143,3097.73999
88.983696,0.14,3117.860107
90.883034,0.14,3131.290039
89.27877,0.135,3050.330078
90.463997,0.13,3083.76001
87.684425,0.133,3009.050049
89.705254,0.125,3053.23999
90.454079,0.135,3100.290039
90.282982,0.13,3115.860107
90.282982,0.133,3130.01001
92.698074,0.128,3179.719971
92.410439,0.14,3145.320068
94.562691,0.135,3169.939941
94.969353,0.123,3152.050049
95.135475,0.12,3185.040039
94.696594,0.125,3155.219971
96.263664,0.133,3197.52002
96.925713,0.125,3226.560059
95.73304,0.103,3215.570068
95.539635,0.105,3224.72998
97.553047,0.105,3251.840088
96.206635,0.11,3257.300049
96.476913,0.1,3276.02002
92.085625,0.103,3235.659912
91.857506,0.098,3215.629883
94.034546,0.093,3239.409912
92.489799,0.103,3218.439941
94.262665,0.09,3258.439941
95.403267,0.085,3246.219971
105.3909,0.083,3271.120117
108.046501,0.078,3294.610107
108.768051,0.09,3306.51001
109.1623,0.095,3327.77002
112.970894,0.088,3349.159912
110.402412,0.088,3351.280029
112.007095,0.088,3360.469971
108.67601,0.1,3333.689941
112.287788,0.1,3380.350098
114.275002,0.09,3373.429932
114.173164,0.088,3372.850098
113.875069,0.085,3381.98999
114.823975,0.1,3389.780029
114.968048,0.095,3374.850098
117.519142,0.088,3385.51001
123.575188,0.088,3397.159912
125.053177,0.085,3431.280029
124.027283,0.095,3443.620117
125.713936,0.093,3478.72998
124.211098,0.095,3484.550049
124.009895,0.095,3508.01001
128.215347,0.095,3500.310059
133.322495,0.1,3526.649902
130.560257,0.1,3580.840088
120.107483,0.1,3455.060059
120.186981,0.103,3426.959961
112.098999,0.108,3331.840088
116.570236,0.105,3398.959961
112.764717,0.103,3339.189941
111.284241,0.103,3340.969971
114.622765,0.1,3383.540039
114.80162,0.1,3401.199951
111.413406,0.1,3385.48999
109.63485,0.085,3357.01001
106.157211,0.083,3319.469971
109.376511,0.08,3281.060059
111.095451,0.088,3315.570068
106.435425,0.088,3236.919922
107.528404,0.093,3246.590088
111.562447,0.09,3298.459961
114.225319,0.088,3351.600098
113.360878,0.085,3335.469971
115.069893,0.085,3363
116.043633,0.083,3380.800049
112.297722,0.085,3348.419922
115.755478,0.085,3408.600098
112.436829,0.088,3360.969971
114.344566,0.088,3419.439941
114.23526,0.088,3446.830078
116.222481,0.093,3477.139893
123.604996,0.09,3534.219971
120.32608,0.093,3511.929932
120.415512,0.1,3488.669922
119.938568,0.095,3483.340088
118.259369,0.09,3483.810059
115.2388,0.09,3426.919922
116.759026,0.095,3443.120117
116.123123,0.09,3435.560059
115.010269,0.085,3453.48999
114.304817,0.083,3465.389893
114.314743,0.08,3400.969971
115.854836,0.09,3390.679932
110.489342,0.09,3271.030029
114.583023,0.083,3310.110107
108.164314,0.083,3269.959961
108.074875,0.083,3310.23999
109.734207,0.09,3369.159912
114.215385,0.083,3443.439941
118.26931,0.085,3510.449951
118.134956,0.083,3509.439941
115.776031,0.088,3550.5
115.427666,0.09,3545.530029
118.931198,0.09,3572.659912
118.652512,0.085,3537.01001
118.702278,0.083,3585.149902
119.737419,0.075,3626.909912
118.831673,0.08,3609.530029
117.478035,0.075,3567.790039
118.085182,0.06,3581.870117
116.79126,0.058,3557.540039
113.317581,0.07,3577.590088
114.631409,0.08,3635.409912
115.487389,0.08,3629.649902
116.044762,null,3638.350098
118.493263,0.075,3621.629883
122.146103,0.08,3662.449951
122.504417,0.075,3669.01001
122.365074,0.075,3666.719971
121.678307,0.075,3699.120117
123.171288,0.07,3691.959961
123.79834,0.068,3702.25
121.210495,0.07,3672.820068
122.663666,0.07,3668.100098
121.837555,0.065,3663.459961
121.210495,0.06,3647.48999
127.28196,0.07,3694.620117
127.212296,0.075,3701.169922
128.098129,0.08,3722.47998
126.06768,0.08,3709.409912
127.630325,0.078,3694.919922
131.26326,0.078,3687.26001
130.347565,0.075,3690.01001
131.352829,null,3703.060059
136.050766,0.08,3735.360107
134.239273,0.09,3727.040039
133.09465,0.07,3732.040039
132.069473,0.065,3756.070068
128.804825,0.068,3700.649902
130.397324,0.078,3726.860107
126.007957,0.078,3748.139893
130.307755,0.08,3803.790039
131.432465,0.08,3824.679932
128.376831,0.08,3799.610107
128.197662,0.08,3801.189941
130.277893,0.08,3809.840088
128.307175,0.075,3795.540039
126.545425,0.075,3768.25
127.232201,0.073,3798.909912
131.412567,0.075,3851.850098
136.229919,0.073,3853.070068
138.419647,0.07,3841.469971
142.251633,0.07,3855.360107
142.490524,0.068,3849.620117
141.39566,0.06,3750.77002
136.448898,0.055,3787.379883
131.34288,0.048,3714.23999
133.51268,0.048,3773.860107
134.358719,0.05,3826.310059
133.313644,0.04,3830.169922
136.747498,0.03,3871.73999
136.323837,0.023,3886.830078
136.473373,0.02,3915.590088
135.576233,0.033,3911.22998
134.958206,0.035,3909.879883
134.699051,0.035,3916.379883
134.938263,0.035,3934.830078
132.765244,0.035,3932.590088
130.422729,0.035,3931.330078
129.296326,0.023,3913.969971
129.455826,0.023,3906.709961
125.598167,0.025,3876.5
125.458611,0.023,3881.370117
124.950233,0.028,3925.429932
120.604141,0.033,3829.340088
120.873283,0.035,3811.149902
127.382462,0.028,3901.820068
124.72097,0.035,3870.290039
121.670723,0.035,3819.719971
119.74688,0.028,3768.469971
121.032768,0.028,3841.939941
115.988907,0.035,3821.350098
120.703819,0.035,3875.439941
119.597374,0.03,3898.810059
121.571045,0.028,3939.340088
120.644012,0.025,3943.340088
123.594574,0.015,3968.939941
125.169533,0.008,3962.709961
124.362122,0.008,3974.120117
120.145607,0.003,3915.459961
119.60733,0.005,3913.100098
122.99649,0.005,3940.590088
122.1492,0.01,3910.52002
119.707008,0.015,3889.139893
